QUEST_20150317_000001	Пожалуйста, выберите пользователя, требующие обновления квеста.
QUEST_20150317_001116	Богини голос утонул с этими словами, и Аисте нашли серебряные монеты ей под ноги. {nl}она посмотрела туда, где она оставила ее монеты и обнаружил, что слезы она пролить были преобразованы в монеты.{nl}Аисте был очень счастлив, и позаботились о том, чтобы забрать все серебро перед отъездом.
QUEST_20150317_001117	После ряда шагов, Аисте мысль о серебряных, {nl}и, снова, отправился к его дому и постучал в его дверь. {nl}, как если бы ювелир ждал ее возвращения, он открыл дверь сразу же и сказала. {nl}'я сожалею. Я жалеть вас не прогонит, как, что. Я дам тебе немного серебра. {nl}это время, будьте осторожны, чтобы не уронить любой и благополучно вернуться домой.'
QUEST_20150317_001118	Как ювелир протянул серебряные монеты, Аисте покачала головой и сказала,{nl}'Нет, спасибо, богиня вернули все мои монеты. Сверху, что она дала мне даже больше. {nl}я вспомнил, ты говоришь, что ты тоже потерял серебро, поэтому я пришел, чтобы дать вам мои лишние монеты. Вы не должны дать мне свой.'
QUEST_20150317_001119	At first, the silversmith was skeptical about the coins being returned, {nl}so he was surprised when Aiste showed him genuine coins. After thinking for a while, the silversmith said, {nl}'Then how about this. You give me what you want while you accept what I was about to give you. {nl}Isn't that fair? On top of that I'll give you a pouch to carry your extra silver.'
QUEST_20150317_001120	Аисте обязан и дал ей лишних монет серебряных. {nl}после этого ювелир дал Аисте сумку с монетами.
QUEST_20150317_001121	Покинув дом серебряных дел мастера, {nl}Аисте вдруг вспомнил, что старый нищий должен продолжить поиски своей потерянной монеты и беспокоятся о нем. {nl}на ее пути к нищему, она встретила в саду владельца снова. {nl}увидев Аисте, фруктовый сад хозяин был вне себя от радости. {nl}'я тебя искал. Прости, что прогоняю тебя раньше. В качестве извинения, я отдам тебе твою зарплату снова. {nl}пожалуйста, будьте осторожны, чтобы не потерять его на этот раз.'
QUEST_20150317_001122	Саду хозяина вывезли большое количество монет, больше, чем Аисте зарплата была, и вручил его ей. {nl}однако Аисте покачала головой и сказала, {nl}'Богиня Zemyna уже вернул мои деньги ко мне. В серебряных помог мне, так что теперь я на самом деле слишком много. {nl}вот, взгляните.'
QUEST_20150317_001123	Сказав, что, Аисте открыла сумку с монетами она получила от серебряных и показала на фруктовый сад владельца. {nl}фруктовый сад хозяин был крайне удивлен, так как сумма денег, которую она получила от богини и серебряных превзошел сумму, которую он имел.
QUEST_20150317_001124	Пренебрегая сумму Аисте показали ему, фруктовый сад хозяин сказал, {nl}'ну, даже так, мне было бы стыдно за то, что не дает Вам из-за моего, поэтому, пожалуйста, просто возьми. {nl}сказав это, фруктовый сад хозяин сунул монеты в Аисте сумку и ушел. {nl}к тому времени Аисте могли набраться энергии, чтобы позвонить в орчард владельца, он был слишком далеко.
QUEST_20150317_001125	Она заколебалась на мгновение, а затем установить ее разум на нищего. {nl}после небольшой прогулки, прибыл в Аисте, где они встретились. Старый нищий заметила ее первой и поспешил к ней. {nl}он показал ей серебряные монеты он был на сжимание и сказал: 'смотри! Я нашла свой потерянный серебристом. {nl}Аисте получил нищего серебро, а затем показал на нищего нее сумку и сказал: {nl}'посмотрите, я нашла свои серебряные монеты тоже.'
QUEST_20150317_001126	Хотя нищий был исчерпан, он подставил сложенные вместе ладони, чтобы получить свои монеты обратно. {nl}видя это, Аисте был поставлен на грань слез. {nl}она интересуется, сколько милостыню нищему пришлось сделать, чтобы дать ей ее монеты назад. {nl}с тяжелым сердцем, Аисте отдал старику монеты.
QUEST_20150317_001127	После этого Аисте тоже протянула ему мешок и сказал: {nl}'это подарок в благодарность за ищу своего серебра. Мне подарили этот счет богини Zemyna благодать.' {nl}Аисте, то влево, пока Старый нищий мог придумать, как ответить.
QUEST_20150317_001128	Нищий посмотрел в сторону Аисте дальний тень, и открыл подарок она подарила ему, {nl}любопытно, что там внутри. Внутри, он с удивлением обнаружил несколько десятков серебряных монет. {nl}теперь он понимал, почему Аисте смогла уехать гораздо быстрее, чем она приехала - у нее было осветлять ее нагрузки, давая ему лишнего.
QUEST_20150317_001129	За нищего, кто были скупы более одной серебряной монеты, то Аисте могли бы просто отдать в несколько десятков раз, что сумму перевели его. {nl}тот факт, что Аисте, который ушел и разгадал тайну Fedimian, вернулся и дал ему то, что она действительно ничего не должен, сделал нищего благодарен.
QUEST_20150317_001130	Чем больше он думал, тем меньше нищий смог сдержать слез. {nl}, как он плакал, он заметил нечто странное - каждый сияет слеза, что коснулась земли, трансформированные для серебряных монет.
QUEST_20150317_001131	Нищий не мог поверить своим глазам, но быстро вспомнила слова об Аисте благословение от богини. {nl}через некоторое время, нищий перестал плакать, и пошла забирать монеты и складывать их в сумку Аисте дали ему.
QUEST_20150317_001132	Несколько дней спустя, нищий пошел к статуе, что Аисте молился. Там, он вытащил одну монету из мешочка держать, а остальные предложил богине статую. {nl}затем он молился богине от всего сердца и ушла. Так как деньги он предложил исчез, нищий снова пролить слезы, но это уже совсем другая история.
QUEST_20150317_001133	Через несколько дней, странный слух распространился по всей Fedimian. {nl}молва утверждала, что серебро больше не исчез в Fedimian почвы. {nl}молва не сидеть ну сначала со взрослыми, опытными людьми, но некоторые проверили слух с ничтожным количеством серебра, {nl}и это оказалось правдой. Все согласились, что, наконец, загадочное явление Fedimian подошло к концу.
QUEST_20150317_001134	Через некоторое время слово это явление дошло до царя. Любопытно, почему это произошло, царь распорядился о проведении расследования. {nl}скрытую истину принесли свет, и Аисте рассказ был известен.
QUEST_20150317_001135	Король похвалил людей, которые вызвало чудо с их добрые сердца. {nl}кроме того, в честь милости богини, он решил провести государственную казну, чтобы построить большую статую в ее честь.
QUEST_20150317_001136	В день, когда статуя была завершена, {nl}что-то чудесное произошло, как король и Аисте пошли вместе, чтобы сделать первое предложение. {nl}от окружности статуи проросшие монет - все монеты из серебра, которые были утрачены по Fedimians до этого времени.
QUEST_20150317_001137	После бурных дебатов, в Fedimian люди решили не копить их потеряли серебряные монеты. {nl}вместо этого, они попросили короля, чтобы собрать все монеты и распределять их среди бедных Королевства. {nl}царь с готовностью согласился, и отдал приказ записать это красивое событие в истории Королевства.
QUEST_20150317_001138	Даже сейчас, никто не знает, когда и как таинственный феномен Fedimian начал, {nl}но все знают когда, как и кто помог разгадать загадку. {nl}именно через доброту Аисте и людей, которые помогли ей, а также благодаря милости богини, что тайна подошла к концу.
QUEST_20150317_001139	Игрок Клайпеды
QUEST_20150317_001140	Игрок Клайпеды {nl}~рассказ~
QUEST_20150317_001141	{nl}{nl}в городе Клайпеда, там когда-то жил человек по имени Модестас. {nl}он был хорошим, честным человеком - но был один большой недостаток, что его друзья и семья все беспокоит, особенно его жена так. {nl}Модестас был не ленивый и не очень умный, ни не слишком глупо. {nl}он не пил или неоднократно ввязываться в драки. {nl}мужчина был один недостаток, и это было то, что он любил играть в азартные игры.{nl}
QUEST_20150317_001142	В течение дня, Модестас будет упорно работать и никогда не позволю себе голодать - {nl}, но всякий раз, когда он заработал больше, чем он действительно нуждался, он бы авантюра. {nl}жена всегда будет пытаться сохранить эти деньги, но не одной лишней монетки когда-либо будет идти в сторону их дома.
QUEST_20150317_001143	Всякий раз, когда она могла, Модестас' жена часто приходила в храм, и помолиться богине' подобию. {nl}но Модестас продолжение своей странной привычки, и люди вокруг него становился все более обеспокоенным. {nl}в конце концов, разум игрок будет думать: "сегодня может быть небольшой, но завтра это может быть большой!' {nl}и так дни прокатывают, так же, как они когда-либо были, пока один специфический день.
QUEST_20150317_001144	Как и большинство его дней, Модестас направлялся домой после участия в азартных играх от его избытка монет. {nl}он шел через лес Шяуляй на пути в Клайпеду, когда он увидел странного, старуха на дороге.
QUEST_20150317_001145	Эта старая женщина, казалось, не только старых и немощных, но имели нервирует ауру вокруг нее. {nl}она вела себя странно, как будто в глубокой задумчивости или одержимым что бы она ни делала. {nl}Модестас думал о просто игнорируя женщину и проходя мимо. Ничего бы не случилось, если бы он сделал это, {nl}но любопытство взяло верх над ним.
QUEST_20150317_001146	Если быть точным, то, что действительно повернул голову в сторону старухи, было то, что она держала в руках. {н]}золота. Женщина, казалось, зациклена на два золотых, что-то делать с ними. {nl}не слышно ее бормотание, Модестас приблизились к странной женщине.
QUEST_20150317_001147	Over the jingling sound of gold, the old woman muttered. {nl}'If these two pieces of gold could ever marry, the baby gold would make me rich... but there's no life in these things...' {nl}Modestas heard those words, and decided to comment. {nl}'That gold won't make you rich by itself, so just put it into something worthwhile. {nl}Do you really think muttering at gold will do something?'{nl}
QUEST_20150317_001148	The old woman spoke plainly, 'Why not? If this way bears fruit, it'll be safe and secure.' {nl}'That's ridiculous. You should do what I do and gamble.' {nl}The woman was incensed.
QUEST_20150317_001149	So, you think your betting ways are better?' {nl}'Why wouldn't I? There are moments where I could win or lose, but your way won't make any gold at all.' {nl}With Modestas' words, the old woman paused in thought. Finally, she said, {nl}'Then let's have a bet.'
QUEST_20150317_001150	The disturbing aura around her grew as soon as the offer reached Modestas' ears. He couldn't outright refuse. {nl}'What kind of bet?' {nl}'We'll see whether your way or my way will make us richer.' {nl}'And if I lose?'
QUEST_20150317_001151	Don't worry about that. You will win, and you will lose - That won't change. The rules are fixed.' {nl}'What do you mean by that?' {nl}'By taking my offer, you will fail once, and you will win once. No matter what happens.' {nl}'Well, yeah. Winning and losing is how gambling works.'
QUEST_20150317_001152	Нет. Неважно, насколько не повезло вам может показаться, вы выиграете свой первый Гэмбл. {nl}и затем, независимо от того, насколько благоприятна жизнь может показаться вам не удастся в следующий.
QUEST_20150317_001153	Modestas was still confused by these strange words. {nl}'So, you're saying I'll win on every odd bet, and lose on every even one?' {nl}'Yes. It will be so. You will win coin, and then you won't. Is that not fair? {nl}One coin will be enough to succeed, no matter how many bets you make. That is my offer.' {nl}'You think I'll switch between winning and losing, huh?'{nl}
QUEST_20150317_001154	Своей рукой ее подбородок, старуха дала запутанный ответ. {nl}'три раза каждую, должно хватить. Возвращайся ко мне после шести авантюр. {nl}естественно, если у вас нет больше монет после шестой ставку, я выиграю.'
QUEST_20150317_001155	Modestas seemed to tremble. 'How much should I earn, then?' {nl}'You start with one gold piece,' she replied, 'and when you return, show me all your gold pieces but that one. {nl}If you stretch that single piece to anything more, then you win. As for the time... you have one week.' {nl}'So, what do you get when I lose?' Modestas reminded her.{nl}
QUEST_20150317_001156	Well...' the old woman lingered, 'If you win, everyone will know about my gold - {nl}and you'll have the power of winning and losing. On the other hand...' {nl}''On the other hand...'?' Modestas said, tensely.
QUEST_20150317_001157	Когда я выиграю, то после этого друзья вы знаете исчезнет каждый раз, когда вы проигрываете ставку.' {nl}Модестас был встревоженными условий. Он не сразу объект, но мысли о победе, {nl}и вскоре утвержден. Модестас был, скорее всего, тот человек, который никогда не отступал.
QUEST_20150317_001158	В любом случае, как Модестас и старуха расстались, он знал, что сейчас появилась опасная сила, гарантирующие его победы в любое время в ближайшем будущем. {nl} он шел, глядя на следующего человека, чтобы сделать ставку на огромные. Он не знал, сколько поставить на его следующий шаг, он услышал звук скачет за ним.
QUEST_20150317_001159	Модестас обернулся. Это был его старый добрый друг, Зигфрид, езда верхом на лошади к нему. {nl} они знали друг друга, поскольку оба были вместе через взлеты и падения азартные игры. Они обменялись приветствиями и поговорили о том, куда они собирались. Зигфрид спешился для ходьбы в неторопливом темпе со своим другом, праздно болтая по пути. {nl}
QUEST_20150317_001160	Впрочем, в скором времени, Модестас больше не могла продолжать гуляли с Зигфрида. {nl}он был полностью в курсе его срок, и не имел времени для таких тривиальных деятельности. {nl}
QUEST_20150317_001161	Even during their normal everyday conversations, Modestas and Sigfried unconsciously made big and small bets. Eventually, one would utter the word, 'Bet?' unconsciously. {nl} Neither of them were rich so these bets weren't ever that big. Knowing this would trigger the curse, Modestas really wanted to ask Sigfried to leave. {nl} In the end, Modestas uttered these words: {nl}
QUEST_20150317_001162	Are you not busy? You seemed in a hurry on your horse before you passed by for a talk. You should stop worrying about me and go.' {nl} Sigfried, hearing Modestas' words, replied, {nl} 'I was busy, but I still have time to walk with you for another ten minutes or so. This horse might not look like much, but when it comes down to it he can go pretty fast.' {nl}
QUEST_20150317_001163	Seeing Sigfried not budge, Modestas tried again to persuade him, {nl} 'Wouldn't it be better to be early as opposed to be on time?' {nl} {nl} Hearing this, Sigfried became adamant, {nl} 'Do you not believe what I just said or are you willfully ignoring it all?' {nl} A disconcerted Modestas said, {nl} 'No, I didn't mean it like that...' {nl}
QUEST_20150317_001164	However, before Modestas could say any more, Sigfried said, 'If you don't believe me, why don't we have a bet?' {nl} {nl} Naturally, the words, 'Sure. Чего ты хочешь? to wager?' rose up in Modestas' throat.
QUEST_20150317_001165	Considering Modestas' habit, to not immediately accept a gamble took superhuman willpower from him. {nl} 'What... What kind of bet?' {nl} 'We're going to bet on whether my horse is fast or not.' {nl} Modestas desperately fought against his inner gambler.
QUEST_20150317_001166	С другой стороны, Зигфрид был понятно уверенный в себе, зная с уверенностью, что он выиграет Гэмбл, таким образом, он был хорошо с букмекерской своего коня. {nl}только немного денег на руки, ставки стали слишком хорошо, чтобы отказаться, и Модестас окончательно принята. {nl} и, как и ожидалось, Модестас выиграл. {nl}
QUEST_20150317_001167	Как только ставки начали, Зигфрида пробовал каждый способ можно команду свою лошадь двигаться. Несмотря на его усилия, это не перемещение одного копыта на всех.{nl}в конце, Зигфрида неоднократно проклял его странное поведение. Понимая, что и он бы опоздал назначения без коня, он бросил поводья, чтобы Модестас и бросился прочь.{nl} как Зигфрид исчез, Модестас чувствовал себя неловко.
QUEST_20150317_001168	Для Модестас, которые всегда были в приподнятом настроении после победы ставки и депрессии по их потерять, чтобы выиграть и чувствовать себя подавленным был первым за всю его жизнь. {nl}
QUEST_20150317_001169	Зная, что он только что обманул своего давнего азартные игры друга, Зигфрида, и также упустил возможность заработать кучу денег, Модестас чувствовал конфликтны, и медленно пошел рядом с лошадью, он только что выиграл. {nl} при ходьбе, Модестас вспомнил раньше предупреждали его о безоговорочной ставки результаты. Он понял, что теперь, с его грядущего поражения, он обречен на то, чтобы не зарабатывать больше серебра, чем он начал.
QUEST_20150317_001170	Во время прогулки вдоль дороги, Модестас наткнулись на группу солдат. {nl} при приглядевшись, солдаты, казалось, спорили о том, что купить в магазине. {nl} Модестас решил не вмешиваться и пройти их, но воины заметили его и назвал. {nl}
QUEST_20150317_001171	You, the young man with the horse, can you come over and help us for a bit?' {nl} Modestas had no idea what these soldiers needed help for, but since he could no longer ignore them, he decided to head over. {nl} Once Modestas arrived, one of the soldiers said, {nl} 'You came at just the right time. We would like you to referee a small gamble we're about to make here.' {nl}
QUEST_20150317_001172	Модестас был удивлен, когда он услышал слово, 'пари', но была рада узнать, что он был только просят карточку. Ведь ничего не может случиться, если он просто судейство. {nl} Модестас узнал, что солдаты сражались за что богиня была лучшей. {nl}
QUEST_20150317_001173	То, что начиналось как небольшой стеб превратился в большой скандал, который наконец-то стал большую сумму ставки. Солдаты уже собрались своих денег, оставалось только определить победителя. К сожалению, с каждым богини получили равное количество голосов и победитель не мог быть решен.{nl} таким образом, солдаты решили уладить ставку, вызывая первый человек, который проходил мимо, прося его, который он считал лучшим богиня, и определение победителя оттуда. Солдаты согласились, что первый прохожий будет символизировать волю богини все, что он поддерживается. {nl}
QUEST_20150317_001174	Солдаты не сказать Модестас кто голосовал за которую богиня, опасаясь его решение зависит от выражения каждого отдельного солдата. {nl} солдаты же сказали ему, однако, сколько они у каждого отыгран. Просто увидев золотые самородки, он может легко выяснить, что там была большая сумма денег в эту ставку. {nl}
QUEST_20150317_001175	Так как большой куш на кону была, солдаты ждали, затаив дыхание, Модестас " ответ. {nl}я знал, что там нет правильного ответа на вопрос, Модестас просто сказал вслух имя своей любимой богини. {nl} когда он это сделал, солдат среагировал странно. {nl} там должен был быть восторженный победитель и разочарование проигравших, но никто не казался радостным, ни разочарован. Вместо этого, каждый имел растерянный взгляд на их лицах. {nl}
QUEST_20150317_001176	Модестас, озадачен их реакцией, просит разъяснить, к которому один из солдат ответил, {nl}'мы изначально имела голосов для четырех богинь, но ваш выбор не из них, так что теперь у нас есть пять богинь.' {nl}затем солдаты возобновили перепалку о том, как определять победителя. {nl}
QUEST_20150317_001177	The mood began to deteriorate so Modestas wanted to leave. {nl}When he was about to take off, the soldiers blocked his path and accused him. {nl}'It's your fault the argument heated up even more. You're not thinking of just leaving are you?'{nl}Intimidated by the irritated soldiers, Modestas dared not to escape. {nl}
QUEST_20150317_001178	В Модестас' ум, он пришел к выводу, что ссориться солдат не дал ему предупреждение, а просто добавил его в ставку. В реальности, однако, он имел реальные претензии, так что он не был в ставке просто нет. {nl}
QUEST_20150317_001179	Зная Модестас, он не мог просто сидеть в стороне и наблюдала большую ставку расти. В конце концов, он стал заманил присоединиться. Модестас, попавших в запале и заканчивая участвующих, наконец вспомнил, что сейчас его очередь потерять.{nl}но было уже слишком поздно.{nl}
QUEST_20150317_001180	Кроме того, поскольку другие солдаты уже ставки глубоко, Модестас пришлось поспорить с тем, слитки золота у него было. {nl}
QUEST_20150317_001181	Если вы думаете об этом, даже если была его очередь потерять, все, что потребовалось для него, чтобы потерять был еще один голос за любую из богинь он не выбирал. С разницей очередного человека идущего путем поддержки своей богини будучи против него, вероятность выигрыша была невысокой в любом случае.{nl} {nl} тем не менее, победитель был выбран неожиданно. Офицера нашли солдаты расшатывание, дисциплинированный них и собирался увести их. {nl}солдаты, повинуясь вышестоящего командования, собирались отправляться в поход, когда они проницательно спросил его, что богиня ему благоволить. {nl}
QUEST_20150317_001182	Офицер нечаянно произнесла имя богини, и некоторые солдаты начали болеть. {nl} офицер, не зная, что происходит, просто приказал своим солдатам двигаться дальше. В любом случае, Модестас конечно, потерял. {nl}
QUEST_20150317_001183	Имея теперь проиграли золотой слиток, подаренный ему странная старушка, Модестас был теперь в полной растерянности. {nl}, чтобы изначально намерены рефери, только в конечном итоге потерять все золото у него было, и точно зная почему, Модестас чувствовала себя убитой горем, ошарашен, но понимающие. Уникальное чувство. {nl}
QUEST_20150317_001184	Хотя Модестас только что потерял деньги, введя ставку начал с других, это был первый раз, когда он сделал так в его жизни. Модестас провел некоторое время, обдумывая, как лучше его ситуации и {nl}, у меня возникла идея, зная, что он был уверен, чтобы выиграть свою следующую ставку. {nl}
QUEST_20150317_001185	Если бы он мог перезвонить солдаты из ранее и ставку свою лошадь, он мог, конечно, заработать свое золото назад и возможно больше. {nl} зная это, Модестас сел на лошадь и умчался в направлении солдат налево в сторону. {nl} {nl} со скоростью, Модестас вскоре пятнистый стационарный вагон. Модестас понизил скорость, чтобы проверить фургон, припаркованный на обочине дороги. {nl}
QUEST_20150317_001186	К сожалению, как Модестас подъехал на телеге, его лошадь вдруг отреагировал бурно, заставляя его. К счастью, потому что он перерезал себе скорость и упал на грязной земле, он был не сильно больно. {nl}
QUEST_20150317_001187	Кто-то подошел Модестас который лежал вниз больно и помог ему встать на ноги. Он оказался одним из людей, стоящих на стороне, вагон собственника. {nl}человек, который помог Модестас произнес с облегчением, {nl}'я рад, что ты не слишком больно. Ваша лошадь тоже не ушибся, споткнувшись, в яму".{nl}Модестас заметил хорошо скрытую яму, где он указал. {nl}вагон владелец продолжение.{nl}
QUEST_20150317_001188	My horse became injured here and can no longer pull my wagon. It's just an empty wagon, but at any rate, it won't be going anywhere for a while. That's why I have a proposition. Won't you sell me your horse? I believe, with a healthy horse pulling the wagon, even my injured horse can help pull it in some way.'{nl}
QUEST_20150317_001189	It was an unexpected suggestion, but Modestas had to ride the horse to quickly find and catch up to the soldiers. He immediately refused the offer.{nl}The wagon owner tried to explain there was no way his injured horse can pull the wagon alone but Modestas was not persuaded. After his repeated refusal, the wagon owner offered a new suggestion.{nl}'Then let's do this. What if you buy my wagon? I will sell it for cheap. Since my injured horse can't pull the wagon, it will be better off in your hands.'{nl}
QUEST_20150317_001190	Модестас видел, что вагон был очень прочный, красивый и ухоженный. Однако, у него не было насущной необходимости в вагон, поэтому он заколебался. {nl} кроме того, Модестас не было денег, сейчас
QUEST_20150317_001191	Человеческое сердце конечно может быть забавная вещь. {nl} Модестас, решив вагона стоила покупка но не хватает денег, чтобы сделать это, решил, что может использовать его верная победа, чтобы выиграть вагон бесплатно. {nl} так он предложил пари мастер универсал, рискуя собственной лошади. {nl} естественно, Модестас выиграл. {nl}
QUEST_20150317_001192	Модестас, имея сейчас только что выиграл вагон и раненая лошадь, первоначально намеревался держать просто вагон и его оригинальная лошадь. {nl} но видя, как потерпевшая лошадь не как травму, как он думал, он верил, что он выиграл большой. {nl}
QUEST_20150317_001193	В его уме, теперь, когда он получил двух коней и повозку, он верил, он был больше не в плохой ситуации, решив на этот раз быть очень осторожны, чтобы не потерять большую следующего. {nl} так, вместо того, чтобы следовать за солдатами, он решил пойти к месту, где есть меньше людей. Он придержал коня и отправился прочь от цивилизации. {nl} тем не менее, даже в отдаленном месте, то он обязан был встретиться с некоторыми людьми. {nl}
QUEST_20150317_001194	Редкие, как было бы, Модестас, во время перемещения в необитаемые горы, встретившиеся пожилой Алхимик. {nl} старый Алхимик сел на стул по правую сторону дороги, серебряный самородок в руке. {nl} как Модестас проходил мимо поближе, самородок оказался не из серебра, а из свинца. {nl}
QUEST_20150317_001195	'Could this Alchemist be one who could turn lead into gold?' thought Modestas, but soon thought he was just overestimating the Alchemist. {nl} But the Alchemist, glad to see someone pass by after a long time, called out to Modestas, and suddenly proposed a bet with him. Somehow, today the whole world wants to make bets with Modestas, and he was getting tired of it. {nl} Modestas liked gambling, but to find opponents this easily was becoming a joke to him. {nl}
QUEST_20150317_001196	Модестас собирался сделать что-то в отличие от его бытия и отвергнуть поспорить, но мысль, что он может поставить низкие перенес свой разум. {nl} ведь старый Алхимик был отыгрыш ведущего самородок. {nl}
QUEST_20150317_001197	Потому что на этот раз он был уверен, что терять, Модестас считают, что было бы лучше поставить и проиграть против возглавить "самородок" сейчас, чем наезжать на людей, кто бы отыграть и проиграть большие суммы денег позже. {nl}Модестас убедившись, что он может согласиться на пари, а теперь несмотря на то, что нет денег и может принести некоторые позже, и принял ставку. Нет слов необходимо сказать о результате. {nl}
QUEST_20150317_001199	Однако право, как и ставка была урегулирована, свинцовый самородок приз испустил искры и в одно мгновение ясно стало золото. {nl} Старый Алхимик сейчас хихикнула, - теперь ты должна мне один золотой самородок, обязательно принесу.' {nl} Модестас протестовали, но как бы он посмотрел, что старый Алхимик сейчас был явно не приведет. {nl}
QUEST_20150317_001200	Вместо этого было явно золото, так что в конце Модестас пари против золотой самородок. {nl} в конечном счете, сейчас-надоело Модестас не возражающего против алхимика. {nl}
QUEST_20150317_001201	Теперь, Модестас потерял больше золота, чем он задолжал странная старуха. {nl} и теперь у него только одна безусловная победа и поражение левой. {nl} как Модестас привести его вагон через весь горный путь, он пробормотал насчет того, чтобы удостовериться, что его следующего выигрыша очень большая. {nl}
QUEST_20150317_001202	На этот раз, несмотря ни на что, я должен вести ставку против самых богатых в мире, ну может быть, не самым богатым, но состоятельным человеком, по крайней мере.'{nl}как только он произнес эти слова, его окрестности сотрясали землетрясения и тяжелым, глубоким голосом провозгласил.{nl}'я самый богатый в этом регионе.'{nl}
QUEST_20150317_001203	Modestas scanned his surroundings but failed to find anyone. So he asked,{nl}'Who are you?'{nl}The heavy deep voice answered his question.{nl}'I am where you stand. In your tongue, I am called the mountain.'{nl}Modestas in disbelief, couldn't help but talk back.{nl}
QUEST_20150317_001204	You are... the mountain?'{nl}'That is correct. I am the mountain, and just as you are looking for, the richest around here.'{nl}'You are the mountain? Well, no, even if you are the mountain, how can you claim to be the richest?'{nl}'I own much land for my sierra stretches far. Further in me I contain large valuable lodes.'{nl}
QUEST_20150317_001205	Услышав о горе ценные жилы, возродил Модестас " привычкой. Он даже знал, что на этот раз, он был уверен, чтобы выиграть. Модестас начали уговаривать самостоятельно провозгласив гору, чтобы сделать ставку с ним. Горы, равнодушно за выигрыш или проигрыш этой ставки, согласился. {nl}
QUEST_20150317_001206	Для человека, чтобы иметь судьбоносную встречу с загадочным существом, как эта, даже Модестас сомневался в его вменяемости. {nl} в любом случае, Модестас ставку против горных руд, и выиграл.{nl}
QUEST_20150317_001207	В конце Бет, горы вспыхнули, и огромный валун приземлился прямо перед Модестас. Это было конечно нечто, но валун не похоже было, что Модестас ожидалось. На горе, это был карточный долг погашен. {nl} в Модестас глаза впрочем, там должны были прожилки золота, или по крайней мере что-то полезное, как медь или уголь. {nl}
QUEST_20150317_001208	Даже если гора жилах содержится ничего, кроме скал, он думал, что может в конечном итоге владеющих большой карьер выкопать ценные камни. Вместо этого, горе выплатили неадекватная награда.{nl}когда Модестас указал на это, на гору не согласился. {nl}'а у тебя только две лошади и повозка.'
