QUEST_LV_0200_20150317_000001	Philipas' Солдата
QUEST_LV_0200_20150317_000454	Pilgrim Liliya
QUEST_LV_0200_20150317_000455	Если я умру, пожалуйста похороните меня..{nl}сделать свое тело невидимым...{nl}если я сбиваюсь с дыхания, пожалуйста, похороните меня...
QUEST_LV_0200_20150317_000456	И если вы встретите паломника по имени Юлия, Пожалуйста скажите ему эти слова... сказать ему "прощай"...
QUEST_LV_0200_20150317_000457	Памятка паломника
QUEST_LV_0200_20150317_000458	Эта земля была проклята Naktis. {nl}я могу умереть, но пусть это будет известно для паломников, которые проходят в этом месте. {nl}Демон Господа Naktis водила проклял дерево корень кристаллы вокруг этого луча-горит Земля, и те корень дерева кристаллы распространяют проклятие праздности для паломников.
QUEST_LV_0200_20150317_000459	Вы должны уничтожить корень дерева кристаллы, чтобы избежать проклятия. {nl}пусть богиня' благословение с паломниками.
QUEST_LV_0200_20150317_000460	Who? {nl}
QUEST_LV_0200_20150317_000461	Anyway, do you have any food? Please give me somthing to eat... I can't stand the hunger anymore. I can't move. Hey, if you have faith in the goddess, please get me some food.
QUEST_LV_0200_20150317_000462	Даже мясо этих диких монстров нормально. Съев всего мира мало... тьфу... я голоден.
QUEST_LV_0200_20150317_000463	Not yet? I think I can even eat you now.
QUEST_LV_0200_20150317_000464	Aakk! Это верно!! Дай мне это! Я съем это все!
QUEST_LV_0200_20150317_000465	Эй не уходите пока! Еще не время!{nl}
QUEST_LV_0200_20150317_000466	Я ела мясо, мне нужно больше есть овощей. {nl}я слышал побегов камыша вокруг здесь влажные и съедобные. {nl}получить его! Я голоден! Я хочу кушать!
QUEST_LV_0200_20150317_000467	Посмотрите через тростниковые побеги!
QUEST_LV_0200_20150317_000468	Why are we told to share with others when I don't even have enough food for me? {nl}Is it hypocrisy?
QUEST_LV_0200_20150317_000469	Пилигрим Юлия
QUEST_LV_0200_20150317_000470	I think there was some food here... {nl}Did that guy take it? {nl}Ugh..
QUEST_LV_0200_20150317_000471	Я умираю с голоду, и теперь у меня возникают головные боли! {nl}я чувствую, что моя голова взрывается с одной только мыслью о еде, но другие вещи продолжают приходить на ум. {nl}что это было... что-то вроде оргел...
QUEST_LV_0200_20150317_000472	{nl}почему это еда постоянно всплывают в моей голове когда я не могу даже съесть его.
QUEST_LV_0200_20150317_000473	Эти грязные дураки... я отомщу... {nl}ААА Лилия...
QUEST_LV_0200_20150317_000474	Ожерелье.. да. {nl}молодцы.. пожалуйста, береги его. {nl}это знак моей благодарности.. в оргел был сувенир для нас обоих, но ожерелье особенное...
QUEST_LV_0200_20150317_000475	{nl}собора был благословлен так что я уверен, что это будет хорошей вещью для вас тоже.
QUEST_LV_0200_20150317_000476	Aaaaagghh! Аааа! {nl}я буду глотать все это!!!
QUEST_LV_0200_20150317_000477	Who are you? Ugh... I want to keep arguing but I'm starving.. {nl}
QUEST_LV_0200_20150317_000478	...Хе-хе. Что ты скажешь, что помогаешь мне питаться если у вас есть время??
QUEST_LV_0200_20150317_000479	Может быть, даже некоторые монстра плоть... Arrg я слишком голоден и видишь их снова!
QUEST_LV_0200_20150317_000480	Монстр мясо имеет какой-то запах, но это не слишком плохо кушать. {nl}
QUEST_LV_0200_20150317_000481	Хе-хе. Спасибо. {nl}как вы можете видеть, я просто не могу двигаться.
QUEST_LV_0200_20150317_000482	Вот оно! дай мне это! {nl}я собираюсь съесть! Никто не может забрать его у меня! Она моя!
QUEST_LV_0200_20150317_000483	...? That? What about that? {nl}
QUEST_LV_0200_20150317_000484	Oww! My head! Arrgh! Yuck! What's that? What about that orgel? {nl}
QUEST_LV_0200_20150317_000485	Мои воспоминания... ее... отдай мне! Она моя!
QUEST_LV_0200_20150317_000486	Так вот что получилось... Спасибо. Она оставила этот оргел позади. {nl}мы обещали брак и мы оставили наш путь на паломничество в собор, чтобы подтвердить наше обещание на будущее. {nl}но ах.. Лилия.. Лилия..!!{nl}
QUEST_LV_0200_20150317_000487	В наше счастливое путешествие в паломничество... вот где мы встретились тогда. {nl}Н... Naktis! Демон Господа!{nl}она забрала наше ожерелье и оргел, смотрел на нее некоторое время, и бросил его далеко прочь!
QUEST_LV_0200_20150317_000488	{nl}затем она заставила нас бороться и ненавидеть друг друга за чревоугодие и просто исчез. {nl}мне нужно идти... встретиться с ней, она, как она...
QUEST_LV_0200_20150317_000489	В оргел выкатился куда-то и ожерелье... ее слуга проглотил его. {nl}
QUEST_LV_0200_20150317_000490	Затем Naktis сделал нас... такой... {nl}
QUEST_LV_0200_20150317_000491	Ой, простите. {nl}я тоже кружится голова и трудно говорить. {nl}есть Nikotias в голодающих демона способом, которые используются в качестве лекарственных трав. Не головокружение исчезнет, если я ем некоторые из этих трав??
QUEST_LV_0200_20150317_000492	Я слышал Nikotias растут в верхней зоне. {nl}но это не легко, чтобы получить его, поэтому будьте осторожны.
QUEST_LV_0200_20150317_000493	Ах, это так... спасибо. {nl}она чувствует себя лучше. {nl}Лилия... ее оргел... она наверное не в этом мире больше... без нее, мне не нужно это ожерелье либо. {nl}
QUEST_LV_0200_20150317_000494	Если вам отвечают, что противно Naktis' монстр, пожалуйста страйк месть за меня. {nl}пожалуйста, возьмите в знак нашей любви от него и пусть он увидит свет мира. {nl}и в знак благодарности за месть, пожалуйста, имейте это ожерелье. {nl}
QUEST_LV_0200_20150317_000495	Это ожерелье, которое получил благословения собора, поэтому она пригодится. {nl}этот кулон ничего не значит для меня больше..
QUEST_LV_0200_20150317_000496	Пилигрим Zenius
QUEST_LV_0200_20150317_000497	Что! Отойти! Мне нужно защитить эти драгоценные запасы продовольствия!
QUEST_LV_0200_20150317_000498	Я почти потерял свою пищу из-за тебя!{nl}
QUEST_LV_0200_20150317_000499	Эти пищевые запасы являются более важными, чем ваши вонючие тела! Не трогай его! Единственное, что мне нужно, это еда! Уходи! {nl}монстры тоже раздражает!
QUEST_LV_0200_20150317_000500	Если вы хотите поговорить со мной, избавиться от монстров наживаться на еду или что-то!
QUEST_LV_0200_20150317_000501	Impressive, but I don't have time to spare for you! {nl}Did you see the one that ran away a while ago? {nl}He made a food stack in Ishiblysh Square too! {nl}But I can't leave! Isn't it obvious that someone will steal these food?
QUEST_LV_0200_20150317_000502	{nl}вот почему я хочу, чтобы ты принесла его! {nl}я уверен, что монстры съели урожай! Вы должны заставить их выплюнуть!
QUEST_LV_0200_20150317_000503	У вас есть несколько хороших ходов! Приятно! {nl}все нормально пока еду на работу. {nl}теперь вы идете вперед по дороге.
QUEST_LV_0200_20150317_000504	Корень Дерева Кристалл
QUEST_LV_0200_20150317_000505	Хотели бы вы попали в корень дерева Кристалл??
QUEST_LV_0200_20150317_000506	Pilgrim Gracius
QUEST_LV_0200_20150317_000507	Кто... Ну я занята сейчас... мне нужно кое-что осталось сделать.
QUEST_LV_0200_20150317_000508	Тьфу...{nl}
QUEST_LV_0200_20150317_000509	Hmm...
QUEST_LV_0200_20150317_000510	Ох... Спасибо. Я Грация. Извините на нашей первой встрече. {nl}но так как ты помог мне, я хочу спросить кое-что. {nl}
QUEST_LV_0200_20150317_000511	Души паломников, которые предали и убили несправедливо оказались в ловушке в этих алтарей. {nl}я освобождаю их и молиться за их души.. {nl}
QUEST_LV_0200_20150317_000512	Это действительно сложно, потому что я ранен, но я не могу не делать это. {nl}думая об этих коллег... мне жаль злые души, которые были не в состоянии пойти на небеса.{nl}
QUEST_LV_0200_20150317_000513	Так вы можете мне помочь??
QUEST_LV_0200_20150317_000514	Я просто пытался освободить души, запертые в этом алтаре. {nl}но все вышло не так как я ожидал. {nl}
QUEST_LV_0200_20150317_000515	Мы должны молиться здесь, и возвращение души, что оказались в ловушке. {nl}но души в разбросанных лестница полны ярости, так что вы должны быть осторожны.
QUEST_LV_0200_20150317_000516	Я видел все это сам. {nl}
QUEST_LV_0200_20150317_000517	Как видите, я был ранен, когда они впервые появились, так что я перечислил. {nl}вот почему я видел все это, но все еще живой... так я пытаюсь освободить души себе. {nl}
QUEST_LV_0200_20150317_000518	Может быть, это мой призыв стать священнослужителем... О ,Боже...
QUEST_LV_0200_20150317_000519	Все души разбросаны... {nl}и я не могу двигаться мои ноги такой.. {nl}пожалуйста, заботиться о нем.
QUEST_LV_0200_20150317_000520	Прежде чем отправиться в путешествие, я помню, что слышал об Богослов. Вы действительно особенные. {nl}
QUEST_LV_0200_20150317_000521	Если только я не больно такой..
QUEST_LV_0200_20150317_000522	Они убили паломников, как, что. Я имею в виду друг друга... {nl}, как если бы они шаг назад и наслаждались управления людьми... это ужасно. {nl}один паломник души был даже брошен вокруг монстра как игрушка. {nl}
QUEST_LV_0200_20150317_000523	Я вынуть и выпустить монстров брошен внутрь чудовища. {nl}я делаю препарата забрать души из монстра... {nl}, но она не ладится. {nl}Можете ли вы проверить это??
QUEST_LV_0200_20150317_000524	Во-первых, распространять его под монстра. {nl}если душа выходит, то это означает успех.
QUEST_LV_0200_20150317_000525	Я хотел, чтобы это хорошо..
QUEST_LV_0200_20150317_000526	Ах, я думаю, что-то все равно не хватает. {nl}что это было... что...
QUEST_LV_0200_20150317_000527	Аааа! Я помню! Вот оно что! {nl}, что вещь паломников носить с собой!
QUEST_LV_0200_20150317_000528	Писание!!!
QUEST_LV_0200_20150317_000529	Пожалуйста, принеси его! {nl}один из пилигрима души в ловушке где-то здесь должно быть это!!
QUEST_LV_0200_20150317_000530	Вот оно!{nl}о, спасибо. Я могу, наконец, сделать наркотик!
QUEST_LV_0200_20150317_000531	Если вы используете эту, душа внутри монстр будет светить. {nl}победить этих монстров так, что души могут покойся с миром.
QUEST_LV_0200_20150317_000532	Они были хитрые и осторожны. {nl}они сделали семинаристы предать и убить друг друга. {nl}людей, которые должны были стать священниками и распространять любовь богини к другим, предавая и убивая сами, а их души, пойманные в ловушку к алтарю и ярость друг против друга..{nl}
QUEST_LV_0200_20150317_000533	И я имею в виду в алтарь, где мы предлагаем обряды богине. {nl}может я и ранен, но я еще жив и я не могу простить тех монстров. Насколько больше для паломников, которые погибли подобное.. {nl}вот почему души в алтаре полны гнева.
QUEST_LV_0200_20150317_000534	Надеюсь, сияние души скрасит ваш путь. {nl}
QUEST_LV_0200_20150317_000535	Они также будут благодарны Вам.
QUEST_LV_0200_20150317_000536	Я чувствовал покой души освобождены даже издалека. {nl}
QUEST_LV_0200_20150317_000537	Но есть еще вещи осталось сделать. Здесь много алтарей в рассеянном лестница.
QUEST_LV_0200_20150317_000538	Chliz в гору и Branginti холмов, по аллее, мимо Oshimas дорогу и прямо до фиолетового дерева неисправностей лес, есть алтари в этих четырех областях с души в ожидании дня, чтобы быть свободным от гнева. {nl}там разные способы, чтобы освободить души, но я уверена, ты сможешь это выяснить. {nl}
QUEST_LV_0200_20150317_000539	Как все дела идут, труднее выполнить чем узнать. {nl}я буду молиться здесь за души покой. {nl}Спасибо.
QUEST_LV_0200_20150317_000540	Я не знаю, почему они сделали это место таким. {nl}
QUEST_LV_0200_20150317_000541	Казалось, они искали что-то. {nl}они казались, чтобы быть уверенным, что что-то здесь как они грабили души и разрушил жертвенник. {nl}что бы это могло быть.. может ли это быть связано с собора, что стоит в конце этого паломника путь..{nl}
QUEST_LV_0200_20150317_000542	Говоря о соборе, у меня есть рецепт. {nl}на самом деле, я не знаю как пользоваться этой штукой, так что я всегда думал, что я бы отдал его тому, кто этого заслуживает. {nl}я считаю, что это правильно, чтобы дать его кому-то, кто сделает здесь души покой.
QUEST_LV_0200_20150317_000543	Даже если ты Богослов, сталкивается с разъяренной души-это опасная вещь. {nl}
QUEST_LV_0200_20150317_000544	Пожалуйста, будьте осторожны.
QUEST_LV_0200_20150317_000545	Это 4 алтарями. {nl}существует множество способов для души покой. {nl}может быть предлагая цветы, или собрание Писании в " пилигриме.. {nl}вы, возможно, должны контролировать злые души в первую очередь.
QUEST_LV_0200_20150317_000546	{nl}я надеюсь, что мои молитвы помогают душам обрести покой.. {nl}и это только мое презумпцию но если есть какие-то элементы, полученные после души покоятся с миром, пожалуйста, принесите его.
QUEST_LV_0200_20150317_000547	Это может быть полезным для вас. {nl}конечно, это только мои домыслы.
QUEST_LV_0200_20150317_000548	Ты вернулся. Какое облегчение. И спасибо. {nl}
QUEST_LV_0200_20150317_000549	Не удивительно.. ты заслуживаешь этого рецепта. {nl}
QUEST_LV_0200_20150317_000550	Я дам тебе это. {nl}это был подарок от моего деда, который был кузнецом, когда я сказал, что я стану священнослужителем. {nl}хотя мои коллеги обрел покой, я планирую остаться церемоний подношений, для них так оно мне не нужно.
QUEST_LV_0200_20150317_000551	Фиолетовый Дерево Неисправностей Лес Уведомления
QUEST_LV_0200_20150317_000552	Есть благословенный алтари вокруг фиолетового дерева неисправностей лес. {nl}паломники, проходя мимо него, можете предложить поклонение все алтари и будьте благословенны. {nl}
QUEST_LV_0200_20150317_000553	Каждое святилище находится под управлением священника мастеров.{nl}когда происходит беда в святилище, найди мастера, ответственного за это управление.{nl}детальные локации Санктумs являются..
QUEST_LV_0200_20150317_000554	((Уведомление наполовину сломан. Не могу прочитать все письмена.))
QUEST_LV_0200_20150317_000555	Алтарь Уведомления
QUEST_LV_0200_20150317_000556	Вы можете получить благословения, предлагая деньги. {nl}количество предложений, которые могут быть получены из каждого паломника отличается.
QUEST_LV_0200_20150317_000557	{nl}{nl}May the grace of the goddess be with you. {nl}-- Manager : [Pardoner Master] Maistes Goldmunt
QUEST_LV_0200_20150317_000558	Вы можете получить благословения, предлагая товар. {nl}заманить свежие товары от монстров поблизости.
QUEST_LV_0200_20150317_000559	{nl}The grace of the goddess be with you, always. {nl}--Manager : [Priest Master] Vorable
QUEST_LV_0200_20150317_000560	Поклонение в святилище здесь. {nl}благословения будут с тобой.
QUEST_LV_0200_20150317_000561	{nl}May the grace of the goddess be with you.{nl}-- Manager : [Клерик Master] Rozalija
QUEST_LV_0200_20150317_000562	Обложка Писание на алтарь пахнет кровью. Взялись монстры едят других страниц??
QUEST_LV_0200_20150317_000563	Вы можете получить благословения, предлагая чистой водой. {nl}принеси чистой воды из ручья.{nl}
QUEST_LV_0200_20150317_000564	The blessings of the goddess will purify your soul like the clear water. {nl}-- Manager : [Oracle Master] Apolonia Barbora
QUEST_LV_0200_20150317_000565	You will receive blessings if you offer reed flowers. {nl}Offer the reed flowers that can be found near the Purple Tree Fault Forest's Farewell Bridge. {nl}The grace of the goddess be with you, always. {nl}-- Manager : [Druid Master] Gina Greene
QUEST_LV_0200_20150317_000566	You must offer money to the Sanctum. {nl}The blessings of the goddess will be with you. {nl}May you receive the grace of the goddess. {nl}-- Manager : [Pardoner Master] Maistes Goldmunt
QUEST_LV_0200_20150317_000567	Pay worship to this Sanctum. {nl}The blessings of the goddess will be with those who lay themselves low. {nl}May the grace of the goddess be with you in your ordeals. {nl}--Manager : [Krivis Master] Hercus
QUEST_LV_0200_20150317_000568	Sanctum
QUEST_LV_0200_20150317_000569	Будете ли вы предлагать деньги и получать благословения??
QUEST_LV_0200_20150317_000570	Найти грузы использовать для жертвоприношения.
QUEST_LV_0200_20150317_000571	Вам нужно больше товаров.
QUEST_LV_0200_20150317_000572	Я слышала, что фиолетовый дерево неисправностей лес был поврежден Naktis. {nl}но я не знаю, что даже sanctuariues бы не работать.. я чувствую себя плохой и злой.
QUEST_LV_0200_20150317_000573	Взять эту святую воду и брызгал ею в святилище. {nl}
QUEST_LV_0200_20150317_000574	Надеюсь, этого будет достаточно, чтобы очистить ее.
QUEST_LV_0200_20150317_000575	Я надеюсь, что святилище будет вернуться к нормальной жизни. {nl}я верю, что с тобой, он будет работать хорошо но.. Naktis и Собор..
QUEST_LV_0200_20150317_000576	Goddess Vakarine Statue of Purple Tree Fault Forest? There are many, but one of them is broken..? {nl}
QUEST_LV_0200_20150317_000577	Странно. Это может быть опасно. {nl}у нас есть только одна Богиня статую в фиолетовый дерево недостатка леса. {nl}Ну в любом случае, поскольку вы говорите, что это не работает..
QUEST_LV_0200_20150317_000578	Он мог взять часть статуи так, охотиться на монстров поблизости. {nl}если мой прогноз правильный, то он должен быть Naktis' акт. {nl}я был далеко но я получаю новости. {nl}
QUEST_LV_0200_20150317_000579	Если вы нашли вода рядом, потом попробовать наклеить кусок штукатурки. {nl}там, кажется, проблема в собор..
QUEST_LV_0200_20150317_000580	Возможно, вы слышали о ней, но поскольку Gesti поражение, Naktis пытается доказать свою позицию под Gesti, войдя в собор. {nl}
QUEST_LV_0200_20150317_000581	Вот почему она была разгромив паломнического пути, который, по слухам, есть улики. {nl}это будет трудный путь для вас..
QUEST_LV_0200_20150317_000582	Мне жаль, что я не могу поехать с вами как у меня дела здесь. {nl}
QUEST_LV_0200_20150317_000583	Я желаю вам удачи.
QUEST_LV_0200_20150317_000584	You mean the Sanctum in Purple Tree Fault Forest? {nl}
QUEST_LV_0200_20150317_000585	О, я слышал слухи, но что в этом плохого??
QUEST_LV_0200_20150317_000586	Я думаю, Naktis-это не простой Демон Господа. {nl}звучит как находится святилище осквернено монстров рядом с ним. {nl}находим знак Санктум от монстров поблизости и записать его в передней части святилища. {nl}
QUEST_LV_0200_20150317_000587	Даже если святилище очищено, оно не может повернуть обратно на оригинальную форму, но она будет функционировать снова.
QUEST_LV_0200_20150317_000588	Naktis должны быть в поисках ключей для входа в собор. {nl}если мой прогноз верен, это не только фиолетового дерева неисправностей лесом, но все Паломнический путь, что и должно быть. {nl}если вы достигните Собор, пожалуйста, победить Naktis. {nl}мы должны остановить демонов от получения их на руки богини' откровения.
QUEST_LV_0200_20150317_000589	Вы должны записать его в святилище. Пожалуйста.
QUEST_LV_0200_20150317_000590	Не принесешь чистой воды??
QUEST_LV_0200_20150317_000591	Будет вам доказать вашу веру, предлагая цветы??
QUEST_LV_0200_20150317_000592	Будет вам доказать вашу веру, предлагая деньги??
QUEST_LV_0200_20150317_000593	Что очиститель должен быть достаточно.
QUEST_LV_0200_20150317_000594	What? Me? {nl}
QUEST_LV_0200_20150317_000595	{nl}What was it? What was I doing..? {nl}I think Naktis told me to stay here..{nl}And I was just hungry..
QUEST_LV_0200_20150317_000596	Этом месте делается. {nl}все кристаллы мутировали. {nl}мы должны сделать все от нас зависящее, чтобы повернуть вспять кристаллов.
QUEST_LV_0200_20150317_000597	Пожалуйста, спаси меня. {nl}я не знал, что кристаллы будет такой. {nl}я чувствую, как медленно умираю.{nl}кто-нибудь, пройдя через это место должны быть осторожны кристаллов.
QUEST_LV_0200_20150317_000598	Если Вы не уничтожить его
QUEST_LV_0200_20150317_000599	Я предполагаю, что я умираю. {nl}если окажетесь там, будьте осторожны. {nl}все дерево корень кристаллы вам угрожают. {nl}
QUEST_LV_0200_20150317_000600	Если Вы не расформировать или уничтожить его, вам может быть проклят. {nl}проклятие Лорда демона, который убил меня.
QUEST_LV_0200_20150317_000601	Пилигрим Theophilis
QUEST_LV_0200_20150317_000602	Uhh.. a Pilgrim? Oh.. Are you the Revelator? You must have some questions for me, but I can't move. {nl}
QUEST_LV_0200_20150317_000603	Воды.. мне нужна вода. Пожалуйста, принеси мне воды.
QUEST_LV_0200_20150317_000604	Я не в силах объяснить в деталях, но.. я бежал со всех сил, я и стала такой.{nl}
QUEST_LV_0200_20150317_000605	Я..не могу даже стоять. Я объясню остальное после того, как я получить немного воды..
QUEST_LV_0200_20150317_000606	Может быть, собирая росу с надгробия на юге поможет.
QUEST_LV_0200_20150317_000607	Даже если это от надгробия, роса еще воды.. я могу пить.
QUEST_LV_0200_20150317_000608	Ох, пожалуйста, дай мне это. Спасибо!
QUEST_LV_0200_20150317_000609	Ого, думаю, я могу жить сейчас.
QUEST_LV_0200_20150317_000610	{nl}А??
QUEST_LV_0200_20150317_000611	{nl}Uhm, are you planning to pass through here like that? {nl}No you can't. You might be cursed. {nl}I will make some medicine so take that at least before you go.
QUEST_LV_0200_20150317_000612	{nl}Арргх, у меня нет мешка. {nl}я не знаю, я потерял его во время бегства монстров.. {nl}Эй, если ты найдешь мне мою сумку, потом я приготовлю тебе лекарство, которое имеет иммунный эффект против проклятия.
QUEST_LV_0200_20150317_000613	Это сумка со всеми инструментами, чтобы сделать медицину.. {nl}пожалуйста, найти его.
QUEST_LV_0200_20150317_000614	Я заинтересован в различных областях так я узнал некоторые приемы.
QUEST_LV_0200_20150317_000615	Да, это он. {nl}отдай его мне!
QUEST_LV_0200_20150317_000616	{nl}выглядит все по-прежнему осталось в мешке, так как это не еда! {nl}какое облегчение.
QUEST_LV_0200_20150317_000617	Я сделаю тебе Лекарство, как и обещал. {nl}как долго, как вы дайте мне ингредиенты..
QUEST_LV_0200_20150317_000618	Предлогом пересечения уже не тихая дорога паломников из-за каких-то диких монстров. {nl}все мои коллеги, которые приехали на паломничество с меня напали. {nl}я начал свое паломничество определиться моя работа и миссия. {nl}я имел мастерства, так как я был молод и я был заинтересован в лекарственных травах, но Вы не можете жить, творя все, что вам нравится. {nl}
QUEST_LV_0200_20150317_000619	Я хотел, чтобы решить, если я хочу стать Фармацевтом, или кузнец или кожемяка. {nl}я не знал, что я встречу их чуть не доходя до собора.. {nl}я был не привлекают их, потому что я приняла мой секретный медицины. {nl}растягивая жадность у людей и превращать людей в своих слуг.. Вам нужно принять Лекарство, так что Вы не будете страдать от одного из своих слуг.
QUEST_LV_0200_20150317_000620	Монстры pesting на корнях широкими листьями камыша в пустыне Sestine есть ингредиент для лекарства.
QUEST_LV_0200_20150317_000621	Они сварливые так что будьте осторожны.
QUEST_LV_0200_20150317_000622	Жаль, что я не могу пойти с вами, как мое тело полностью не восстановился.
QUEST_LV_0200_20150317_000623	Это один! Подождите некоторое время. {nl}хотя мое тело не хорошо однако, я могу сделать столько за кого-то, кто достал мне воды..
QUEST_LV_0200_20150317_000624	How is it? {nl}Can you feel it? The effects come slowly..
QUEST_LV_0200_20150317_000625	В сторону
QUEST_LV_0200_20150317_000626	I did drink it but is it really effective? {nl}Should I go and test it?
QUEST_LV_0200_20150317_000627	Теперь, когда вы приняли Лекарство, не подпадают под проклятие из ее слуг. {nl}
QUEST_LV_0200_20150317_000628	Если я могу попросить тебя об услуге, там один парень из жадности, кто оставил для паломничества со мной.. {nl}если можно, пожалуйста, вернуть его в чувство, как ты сделал со мной.
QUEST_LV_0200_20150317_000629	Я даже жалею, что я не разделяю медицину с ним.. {nl}небольшое чувство вины..{nl}
QUEST_LV_0200_20150317_000630	На самом деле, у него были некоторые вещи, которые он ценил так, может быть, он может получить обратно свои чувства, если вы покажете ему вещи. {nl}
QUEST_LV_0200_20150317_000631	Я думаю, что причина того, что он лишился чувств, потому что деревья и весной в Mirshita пруд был загрязнен. {nl}просто мое предположение.
QUEST_LV_0200_20150317_000632	А убегая, я видел, что он уронил что-то рядом с Плаза для встреч и надгробие Wedroka вход. {nl}может быть, это где-то там..
QUEST_LV_0200_20150317_000633	Я думаю, что это было его матери вещи. {nl}хотя я не знаю точно.
QUEST_LV_0200_20150317_000634	Pilgrim Witas
QUEST_LV_0200_20150317_000635	Arrg! Oh you? Why isn't my curse working? {nl}
QUEST_LV_0200_20150317_000636	Who are you? Even the beauty of Succubus is not working?
QUEST_LV_0200_20150317_000637	Th-that? What is that? What is that in your hand? Give me that! {nl}
QUEST_LV_0200_20150317_000638	Aaaak, aaakk, aaakk!!!
QUEST_LV_0200_20150317_000639	Это место.. Ах.. {nl}, что это портрет моей матери и платок..{nl}
QUEST_LV_0200_20150317_000640	Моя мать дала мне его в день перед отъездом мой долгий путь для паломничества. {nl}Ах, мама..{nl}
QUEST_LV_0200_20150317_000641	Спасибо, что вернули меня в мои чувства.. {nl}я думаю, я был неадекват делать неправильные вещи для всех, кто прошел это место.{nl}что я должен сделать за все мои грехи..
QUEST_LV_0200_20150317_000642	Притворство Поток
QUEST_LV_0200_20150317_000643	Должен быть очищенной.
QUEST_LV_0200_20150317_000644	Паломник души, что оказалась в ловушке
QUEST_LV_0200_20150317_000645	Я делал вещи, которые я привык презирать.. {nl}я извиняюсь.. отпустили.. я должен был выбросить свою злость.. {nl}я сделал суровые вещи..
QUEST_LV_0200_20150317_000646	{nl}да.. Спасибо, что спасли меня. Так приятно такой..
QUEST_LV_0200_20150317_000647	В Ловушку Души
QUEST_LV_0200_20150317_000648	Спасибо, что нашла мои Писания.. {nl}я не мог покинуть этот мир, думая о том, кто сорвал Писания. {nl}теперь я могу.. {nl}Спасибо..
QUEST_LV_0200_20150317_000649	Пилигрим дух
QUEST_LV_0200_20150317_000650	Я не прощаю предателей.. {nl}я должен остановить здесь. {nl}это то, что мне больше не нужно..
QUEST_LV_0200_20150317_000651	Who are you? Are you dazzled by the beauty of Succubus?
QUEST_LV_0200_20150317_000652	Они заставили меня впасть в искушение их. {nl}я думаю, что это был проклясть все здесь проездом и искать подсказку. {nl}забавно, что я не помню больше..
QUEST_LV_0200_20150317_000653	Я хотел сделать много вещей. {nl}еще же, хотя.. {nl}вот почему там было много разговоров об этом. {nl}я очень разговорчивый для тех, кто не имеет нормального тела, верно??
QUEST_LV_0200_20150317_000654	Ah, are you done? {nl}The trees and springs here.. Are the source that can keep the Pretense Intersection clean. {nl}What happened..
QUEST_LV_0200_20150317_000655	По словам очевидцев, что-то огромное и очень страшные появились. {nl}его лицо казалось словно растрескалось и было дело пальцы. {nl}рассматривая окрестности здесь, я думаю, более вероятно, что это растение типа, чем Тип животного.
QUEST_LV_0200_20150317_000656	Вы должны изучать мхи во-первых, если вы хотите изучать огромные растения, как, что. {nl}Ну тогда, спасибо!
QUEST_LV_0200_20150317_000657	Куда мне отправиться дальше после такого??
QUEST_LV_0200_20150317_000658	Там должно быть много пород с мхами если вы идете в безлюдное паром. {nl}я хочу, чтобы ты взяла его из разных мест.
QUEST_LV_0200_20150317_000659	Мхи являются индикаторные растения. {nl}, которая означает, что вы можете изучать мхи догадаться определенных загрязняющих веществ.
QUEST_LV_0200_20150317_000660	Ох, приятно. {nl}свежей и выглядит достаточно хорошо, так что это должно делать!
QUEST_LV_0200_20150317_000661	Я слышал от солдат в вырубленной площади, что есть много обесцвеченные травы нет. {nl}не похоже, что погода холодная для его заморозить и не цветные.. что вы думаете??
QUEST_LV_0200_20150317_000662	Я услышал странный трава в Naudingas вырубленной площади. {nl}какое облегчение, что вы здесь. Ха-ха.
QUEST_LV_0200_20150317_000663	Naudangis вырубленной площади не так далеко отсюда. {nl}но Vubbes будет продолжать преследовать тебя, так что лучше быть осторожным.
QUEST_LV_0200_20150317_000664	You plan to cross this forest? {nl}You can't. This place is seriously dangerous!{nl}
QUEST_LV_0200_20150317_000665	Аааа, я Скотт. {nl}я являюсь членом Горец и Peltasta мастеров совместная следственная группа. {nl}мы велели расследовать, что происходит в здесь.
QUEST_LV_0200_20150317_000666	Я слышал, что у вас есть большие способности. {nl}так что если вы настаиваете, что вы должны пересечь эту площадь.. почему бы тебе просто не помочь нашему расследованию??
QUEST_LV_0200_20150317_000667	Oh, now we're talking. I like you. Haha. {nl}First, get me some tree barks those Vubbes are carrying around. {nl}The Vubbes won't carry around tree barks for no reason, don't you think? {nl}
QUEST_LV_0200_20150317_000668	Vubbes рассредоточены по всей области. {nl}они ходят группами, так что вам лучше быть осторожным.
QUEST_LV_0200_20150317_000669	Во-первых, я буду расследовать, потому что это подозрительно, но.. {nl}
QUEST_LV_0200_20150317_000670	You don't think the Vubbes are up to something, do you? {nl}They are too dumb for that..
QUEST_LV_0200_20150317_000671	Ты даже лучше чем я думал! {nl}мы получим что-то если мы исследуем это. Мы лучше сделаем ведь ты принес его!
QUEST_LV_0200_20150317_000672	{nl}Hmm, first, can you deliver the investigations here to Frey?{nl}He's not far from here so you'll find him easily.
QUEST_LV_0200_20150317_000673	Это очень необычно, как я и подозревал. {nl}я чувствую какое-то зло.. это потребуется некоторое время, чтобы понять это.
